job_id,job_role,job_description,required_skills,experience_level
1,Software Engineer,Work on building scalable software solutions and collaborate with cross-functional teams.,"Python,Java,Data Structures,Git,Problem Solving,Communication,Teamwork",Fresher
2,Data Analyst,Analyze datasets to generate insights and support business decisions.,"SQL,Excel,Python,Data Analysis,Visualization,Attention to Detail,Communication",Fresher
3,ML Engineer,"Develop, train, and deploy machine learning models.","Python,Machine Learning,Scikit-learn,Statistics,Data Preprocessing,Problem Solving,Teamwork",0-2 years
4,Frontend Developer,Design responsive user interfaces for web applications.,"HTML,CSS,JavaScript,React,UI/UX,Problem Solving,Communication",Fresher
5,Backend Developer,Develop server-side logic and RESTful APIs.,"Java,Spring Boot,REST APIs,SQL,Git,Debugging,Teamwork",0-2 years
6,Software Engineer,Work on building scalable software solutions and collaborate with cross-functional teams.,"Python,Java,Data Structures,Git,Problem Solving,Communication,Teamwork",Fresher
7,Data Analyst,Analyze datasets to generate insights and support business decisions.,"SQL,Excel,Python,Data Analysis,Visualization,Attention to Detail,Communication",Fresher
8,ML Engineer,"Develop, train, and deploy machine learning models.","Python,Machine Learning,Scikit-learn,Statistics,Data Preprocessing,Problem Solving,Teamwork",0-2 years
9,Frontend Developer,Design responsive user interfaces for web applications.,"HTML,CSS,JavaScript,React,UI/UX,Problem Solving,Communication",Fresher
10,Backend Developer,Develop server-side logic and RESTful APIs.,"Java,Spring Boot,REST APIs,SQL,Git,Debugging,Teamwork",0-2 years
11,Software Engineer,Work on building scalable software solutions and collaborate with cross-functional teams.,"Python,Java,Data Structures,Git,Problem Solving,Communication,Teamwork",Fresher
12,Data Analyst,Analyze datasets to generate insights and support business decisions.,"SQL,Excel,Python,Data Analysis,Visualization,Attention to Detail,Communication",Fresher
13,ML Engineer,"Develop, train, and deploy machine learning models.","Python,Machine Learning,Scikit-learn,Statistics,Data Preprocessing,Problem Solving,Teamwork",0-2 years
14,Frontend Developer,Design responsive user interfaces for web applications.,"HTML,CSS,JavaScript,React,UI/UX,Problem Solving,Communication",Fresher
15,Backend Developer,Develop server-side logic and RESTful APIs.,"Java,Spring Boot,REST APIs,SQL,Git,Debugging,Teamwork",0-2 years
16,Software Engineer,Work on building scalable software solutions and collaborate with cross-functional teams.,"Python,Java,Data Structures,Git,Problem Solving,Communication,Teamwork",Fresher
17,Data Analyst,Analyze datasets to generate insights and support business decisions.,"SQL,Excel,Python,Data Analysis,Visualization,Attention to Detail,Communication",Fresher
18,ML Engineer,"Develop, train, and deploy machine learning models.","Python,Machine Learning,Scikit-learn,Statistics,Data Preprocessing,Problem Solving,Teamwork",0-2 years
19,Frontend Developer,Design responsive user interfaces for web applications.,"HTML,CSS,JavaScript,React,UI/UX,Problem Solving,Communication",Fresher
20,Backend Developer,Develop server-side logic and RESTful APIs.,"Java,Spring Boot,REST APIs,SQL,Git,Debugging,Teamwork",0-2 years
21,Software Engineer,Work on building scalable software solutions and collaborate with cross-functional teams.,"Python,Java,Data Structures,Git,Problem Solving,Communication,Teamwork",Fresher
22,Data Analyst,Analyze datasets to generate insights and support business decisions.,"SQL,Excel,Python,Data Analysis,Visualization,Attention to Detail,Communication",Fresher
23,ML Engineer,"Develop, train, and deploy machine learning models.","Python,Machine Learning,Scikit-learn,Statistics,Data Preprocessing,Problem Solving,Teamwork",0-2 years
24,Frontend Developer,Design responsive user interfaces for web applications.,"HTML,CSS,JavaScript,React,UI/UX,Problem Solving,Communication",Fresher
25,Backend Developer,Develop server-side logic and RESTful APIs.,"Java,Spring Boot,REST APIs,SQL,Git,Debugging,Teamwork",0-2 years
26,Software Engineer,Work on building scalable software solutions and collaborate with cross-functional teams.,"Python,Java,Data Structures,Git,Problem Solving,Communication,Teamwork",Fresher
27,Data Analyst,Analyze datasets to generate insights and support business decisions.,"SQL,Excel,Python,Data Analysis,Visualization,Attention to Detail,Communication",Fresher
28,ML Engineer,"Develop, train, and deploy machine learning models.","Python,Machine Learning,Scikit-learn,Statistics,Data Preprocessing,Problem Solving,Teamwork",0-2 years
29,Frontend Developer,Design responsive user interfaces for web applications.,"HTML,CSS,JavaScript,React,UI/UX,Problem Solving,Communication",Fresher
30,Backend Developer,Develop server-side logic and RESTful APIs.,"Java,Spring Boot,REST APIs,SQL,Git,Debugging,Teamwork",0-2 years
31,Software Engineer,Work on building scalable software solutions and collaborate with cross-functional teams.,"Python,Java,Data Structures,Git,Problem Solving,Communication,Teamwork",Fresher
32,Data Analyst,Analyze datasets to generate insights and support business decisions.,"SQL,Excel,Python,Data Analysis,Visualization,Attention to Detail,Communication",Fresher
33,ML Engineer,"Develop, train, and deploy machine learning models.","Python,Machine Learning,Scikit-learn,Statistics,Data Preprocessing,Problem Solving,Teamwork",0-2 years
34,Frontend Developer,Design responsive user interfaces for web applications.,"HTML,CSS,JavaScript,React,UI/UX,Problem Solving,Communication",Fresher
35,Backend Developer,Develop server-side logic and RESTful APIs.,"Java,Spring Boot,REST APIs,SQL,Git,Debugging,Teamwork",0-2 years
36,Software Engineer,Work on building scalable software solutions and collaborate with cross-functional teams.,"Python,Java,Data Structures,Git,Problem Solving,Communication,Teamwork",Fresher
37,Data Analyst,Analyze datasets to generate insights and support business decisions.,"SQL,Excel,Python,Data Analysis,Visualization,Attention to Detail,Communication",Fresher
38,ML Engineer,"Develop, train, and deploy machine learning models.","Python,Machine Learning,Scikit-learn,Statistics,Data Preprocessing,Problem Solving,Teamwork",0-2 years
39,Frontend Developer,Design responsive user interfaces for web applications.,"HTML,CSS,JavaScript,React,UI/UX,Problem Solving,Communication",Fresher
40,Backend Developer,Develop server-side logic and RESTful APIs.,"Java,Spring Boot,REST APIs,SQL,Git,Debugging,Teamwork",0-2 years
41,Software Engineer,Work on building scalable software solutions and collaborate with cross-functional teams.,"Python,Java,Data Structures,Git,Problem Solving,Communication,Teamwork",Fresher
42,Data Analyst,Analyze datasets to generate insights and support business decisions.,"SQL,Excel,Python,Data Analysis,Visualization,Attention to Detail,Communication",Fresher
43,ML Engineer,"Develop, train, and deploy machine learning models.","Python,Machine Learning,Scikit-learn,Statistics,Data Preprocessing,Problem Solving,Teamwork",0-2 years
44,Frontend Developer,Design responsive user interfaces for web applications.,"HTML,CSS,JavaScript,React,UI/UX,Problem Solving,Communication",Fresher
45,Backend Developer,Develop server-side logic and RESTful APIs.,"Java,Spring Boot,REST APIs,SQL,Git,Debugging,Teamwork",0-2 years
46,Software Engineer,Work on building scalable software solutions and collaborate with cross-functional teams.,"Python,Java,Data Structures,Git,Problem Solving,Communication,Teamwork",Fresher
47,Data Analyst,Analyze datasets to generate insights and support business decisions.,"SQL,Excel,Python,Data Analysis,Visualization,Attention to Detail,Communication",Fresher
48,ML Engineer,"Develop, train, and deploy machine learning models.","Python,Machine Learning,Scikit-learn,Statistics,Data Preprocessing,Problem Solving,Teamwork",0-2 years
49,Frontend Developer,Design responsive user interfaces for web applications.,"HTML,CSS,JavaScript,React,UI/UX,Problem Solving,Communication",Fresher
50,Backend Developer,Develop server-side logic and RESTful APIs.,"Java,Spring Boot,REST APIs,SQL,Git,Debugging,Teamwork",0-2 years
51,Software Engineer,Work on building scalable software solutions and collaborate with cross-functional teams.,"Python,Java,Data Structures,Git,Problem Solving,Communication,Teamwork",Fresher
52,Data Analyst,Analyze datasets to generate insights and support business decisions.,"SQL,Excel,Python,Data Analysis,Visualization,Attention to Detail,Communication",Fresher
53,ML Engineer,"Develop, train, and deploy machine learning models.","Python,Machine Learning,Scikit-learn,Statistics,Data Preprocessing,Problem Solving,Teamwork",0-2 years
54,Frontend Developer,Design responsive user interfaces for web applications.,"HTML,CSS,JavaScript,React,UI/UX,Problem Solving,Communication",Fresher
55,Backend Developer,Develop server-side logic and RESTful APIs.,"Java,Spring Boot,REST APIs,SQL,Git,Debugging,Teamwork",0-2 years
56,Software Engineer,Work on building scalable software solutions and collaborate with cross-functional teams.,"Python,Java,Data Structures,Git,Problem Solving,Communication,Teamwork",Fresher
57,Data Analyst,Analyze datasets to generate insights and support business decisions.,"SQL,Excel,Python,Data Analysis,Visualization,Attention to Detail,Communication",Fresher
58,ML Engineer,"Develop, train, and deploy machine learning models.","Python,Machine Learning,Scikit-learn,Statistics,Data Preprocessing,Problem Solving,Teamwork",0-2 years
59,Frontend Developer,Design responsive user interfaces for web applications.,"HTML,CSS,JavaScript,React,UI/UX,Problem Solving,Communication",Fresher
60,Backend Developer,Develop server-side logic and RESTful APIs.,"Java,Spring Boot,REST APIs,SQL,Git,Debugging,Teamwork",0-2 years
61,Software Engineer,Work on building scalable software solutions and collaborate with cross-functional teams.,"Python,Java,Data Structures,Git,Problem Solving,Communication,Teamwork",Fresher
62,Data Analyst,Analyze datasets to generate insights and support business decisions.,"SQL,Excel,Python,Data Analysis,Visualization,Attention to Detail,Communication",Fresher
63,ML Engineer,"Develop, train, and deploy machine learning models.","Python,Machine Learning,Scikit-learn,Statistics,Data Preprocessing,Problem Solving,Teamwork",0-2 years
64,Frontend Developer,Design responsive user interfaces for web applications.,"HTML,CSS,JavaScript,React,UI/UX,Problem Solving,Communication",Fresher
65,Backend Developer,Develop server-side logic and RESTful APIs.,"Java,Spring Boot,REST APIs,SQL,Git,Debugging,Teamwork",0-2 years
66,Software Engineer,Work on building scalable software solutions and collaborate with cross-functional teams.,"Python,Java,Data Structures,Git,Problem Solving,Communication,Teamwork",Fresher
67,Data Analyst,Analyze datasets to generate insights and support business decisions.,"SQL,Excel,Python,Data Analysis,Visualization,Attention to Detail,Communication",Fresher
68,ML Engineer,"Develop, train, and deploy machine learning models.","Python,Machine Learning,Scikit-learn,Statistics,Data Preprocessing,Problem Solving,Teamwork",0-2 years
69,Frontend Developer,Design responsive user interfaces for web applications.,"HTML,CSS,JavaScript,React,UI/UX,Problem Solving,Communication",Fresher
70,Backend Developer,Develop server-side logic and RESTful APIs.,"Java,Spring Boot,REST APIs,SQL,Git,Debugging,Teamwork",0-2 years
71,Software Engineer,Work on building scalable software solutions and collaborate with cross-functional teams.,"Python,Java,Data Structures,Git,Problem Solving,Communication,Teamwork",Fresher
72,Data Analyst,Analyze datasets to generate insights and support business decisions.,"SQL,Excel,Python,Data Analysis,Visualization,Attention to Detail,Communication",Fresher
73,ML Engineer,"Develop, train, and deploy machine learning models.","Python,Machine Learning,Scikit-learn,Statistics,Data Preprocessing,Problem Solving,Teamwork",0-2 years
74,Frontend Developer,Design responsive user interfaces for web applications.,"HTML,CSS,JavaScript,React,UI/UX,Problem Solving,Communication",Fresher
75,Backend Developer,Develop server-side logic and RESTful APIs.,"Java,Spring Boot,REST APIs,SQL,Git,Debugging,Teamwork",0-2 years
76,Software Engineer,Work on building scalable software solutions and collaborate with cross-functional teams.,"Python,Java,Data Structures,Git,Problem Solving,Communication,Teamwork",Fresher
77,Data Analyst,Analyze datasets to generate insights and support business decisions.,"SQL,Excel,Python,Data Analysis,Visualization,Attention to Detail,Communication",Fresher
78,ML Engineer,"Develop, train, and deploy machine learning models.","Python,Machine Learning,Scikit-learn,Statistics,Data Preprocessing,Problem Solving,Teamwork",0-2 years
79,Frontend Developer,Design responsive user interfaces for web applications.,"HTML,CSS,JavaScript,React,UI/UX,Problem Solving,Communication",Fresher
80,Backend Developer,Develop server-side logic and RESTful APIs.,"Java,Spring Boot,REST APIs,SQL,Git,Debugging,Teamwork",0-2 years
81,Software Engineer,Work on building scalable software solutions and collaborate with cross-functional teams.,"Python,Java,Data Structures,Git,Problem Solving,Communication,Teamwork",Fresher
82,Data Analyst,Analyze datasets to generate insights and support business decisions.,"SQL,Excel,Python,Data Analysis,Visualization,Attention to Detail,Communication",Fresher
83,ML Engineer,"Develop, train, and deploy machine learning models.","Python,Machine Learning,Scikit-learn,Statistics,Data Preprocessing,Problem Solving,Teamwork",0-2 years
84,Frontend Developer,Design responsive user interfaces for web applications.,"HTML,CSS,JavaScript,React,UI/UX,Problem Solving,Communication",Fresher
85,Backend Developer,Develop server-side logic and RESTful APIs.,"Java,Spring Boot,REST APIs,SQL,Git,Debugging,Teamwork",0-2 years
86,Software Engineer,Work on building scalable software solutions and collaborate with cross-functional teams.,"Python,Java,Data Structures,Git,Problem Solving,Communication,Teamwork",Fresher
87,Data Analyst,Analyze datasets to generate insights and support business decisions.,"SQL,Excel,Python,Data Analysis,Visualization,Attention to Detail,Communication",Fresher
88,ML Engineer,"Develop, train, and deploy machine learning models.","Python,Machine Learning,Scikit-learn,Statistics,Data Preprocessing,Problem Solving,Teamwork",0-2 years
89,Frontend Developer,Design responsive user interfaces for web applications.,"HTML,CSS,JavaScript,React,UI/UX,Problem Solving,Communication",Fresher
90,Backend Developer,Develop server-side logic and RESTful APIs.,"Java,Spring Boot,REST APIs,SQL,Git,Debugging,Teamwork",0-2 years
91,Software Engineer,Work on building scalable software solutions and collaborate with cross-functional teams.,"Python,Java,Data Structures,Git,Problem Solving,Communication,Teamwork",Fresher
92,Data Analyst,Analyze datasets to generate insights and support business decisions.,"SQL,Excel,Python,Data Analysis,Visualization,Attention to Detail,Communication",Fresher
93,ML Engineer,"Develop, train, and deploy machine learning models.","Python,Machine Learning,Scikit-learn,Statistics,Data Preprocessing,Problem Solving,Teamwork",0-2 years
94,Frontend Developer,Design responsive user interfaces for web applications.,"HTML,CSS,JavaScript,React,UI/UX,Problem Solving,Communication",Fresher
95,Backend Developer,Develop server-side logic and RESTful APIs.,"Java,Spring Boot,REST APIs,SQL,Git,Debugging,Teamwork",0-2 years
96,Software Engineer,Work on building scalable software solutions and collaborate with cross-functional teams.,"Python,Java,Data Structures,Git,Problem Solving,Communication,Teamwork",Fresher
97,Data Analyst,Analyze datasets to generate insights and support business decisions.,"SQL,Excel,Python,Data Analysis,Visualization,Attention to Detail,Communication",Fresher
98,ML Engineer,"Develop, train, and deploy machine learning models.","Python,Machine Learning,Scikit-learn,Statistics,Data Preprocessing,Problem Solving,Teamwork",0-2 years
99,Frontend Developer,Design responsive user interfaces for web applications.,"HTML,CSS,JavaScript,React,UI/UX,Problem Solving,Communication",Fresher
100,Backend Developer,Develop server-side logic and RESTful APIs.,"Java,Spring Boot,REST APIs,SQL,Git,Debugging,Teamwork",0-2 years
